name,Position,college,Height,Weight,40-yd Dash,Vertical Jump,Bench Press,Broad Jump,3-Cone Drill,20-yd Shuttle,receptions,rec yards,Tds_x,carries,rush yards,YpC,Tds_y,CmpPct,pass yards,Tds,ints,P rating,Sacks,Tackles,rank
Fernando Mendoza,QB,Indiana,76,236,,,,0,,,,,,,,,,72.0,3535.0,41.0,6.0,182.91,,,6
Ty Simpson,QB,Alabama,73,211,,,,0,,,,,,,,,,64.5,3567.0,28.0,5.0,145.25,,,35
Chris Bell,WR,Louisville ,73,222,,,,0,,,72.0,917.0,6.0,,,,,,,,,,,,68
Germie Bernard,WR,Alabama,73,206,4.48,32.5,,125,6.71,4.31,,,,,,,,,,,,,,,33
Denzel Boston,WR,Washington,75,212,,35.0,,0,,4.28,62.0,881.0,11.0,,,,,,,,,,,,19
Zachariah Branch,WR,Georgia,69,177,4.35,38.0,20.0,125,,,,,,,,,,,,,,,,,39
Chris Brazzell,WR,Tennessee ,76,198,4.37,,,0,,,62.0,1017.0,9.0,,,,,,,,,,,,50
KC Concepcion,WR,Texas A&M,71,196,,,,0,,,61.0,919.0,9.0,,,,,,,,,,,,40
Omar Cooper,WR,Indiana,72,199,4.42,37.0,,0,,,69.0,937.0,13.0,,,,,,,,,,,,23
Malachi Fields,WR,Notre Dame,76,218,4.61,38.0,,124,6.98,4.35,,,,,,,,,,,,,,,53
Ted Hurst,WR,Georgia State,76,206,4.42,36.5,,135,,,,,,,,,,,,,,,,,56
Makai Lemon,WR,USC,71,192,,,,0,,,79.0,1156.0,11.0,,,,,,,,,,,,13
De'Zhaun Stribling,WR,Mississippi,73,207,4.36,36.0,,127,,,,,,,,,,,,,,,,,52
Carnell Tate,WR,Ohio State,74,192,4.53,,,0,,,51.0,875.0,9.0,,,,,,,,,,,,11
Jordyn Tyson,WR,Arizona State,73,203,,,26.0,0,,,75.0,1101.0,10.0,,,,,,,,,,,,12
Antonio Williams,WR,Clemson,71,187,4.41,39.5,10.0,124,7.0,,,,,,,,,,,,,,,,62
Jeremiyah Love,RB,Notre Dame,72,212,4.36,,,0,1.55,28,280,,,199.0,1372.0,6.89,18.0,,,,,,,,1
Jadarian Price,RB,Notre Dame,71,203,4.49,35.0,21.0,124,1.61,,,,,,,,,,,,,,,,71
Joe Royer,TE,Cincinnati ,77,247,,,,0,,,,,,,,,,,,,,,,,66
Kenyon Sadiq,TE,Oregon,75,241,4.39,43.5,26.0,133,,,,,,,,,,,,,,,,,10
Eli Stowers,TE,Vanderbilt,76,239,4.51,45.5,,135,,,62.0,769.0,4.0,,,,,,,,,,,,46
David Bailey,EDGE,Texas Tech,75,251,4.5,35.0,,129,,,,,,,,,,,,,,,14.5,,7
Rueben Bain,EDGE,Miami,74,263,,,,0,,,,,,,,,,,,,,,,,16
Caleb Banks,DT,Florida ,78,327,5.04,32.0,,114,,,,,,,,,,,,,,,,,38
Keldric Faulk,EDGE,Auburn,77,276,,35.0,,117,,,,,,,,,,,,,,,,,24
Gracen Halton,DT,Oklahoma,75,293,4.82,36.5,,114,,4.79,,,,,,,,,,,,,,,59
Cashius Howell,EDGE,Texas A&M,74,253,4.59,32.5,,115,,,,,,,,,,,,,,,11.5,,45
Lee Hunter,DT,Texas Tech,75,318,5.18,21.5,,100,,,,,,,,,,,,,,,,,36
Gabe Jacas,EDGE,Illinois ,76,260,,,30.0,0,,,,,,,,,,,,,,,11.0,,44
Malachi Lawrence,DE,UCF,76,253,4.52,40.0,,130,,,,,,,,,,,,,,,,,74
Kayden McDonald,DT,Ohio State,73,326,,,,0,,,,,,,,,,,,,,,,,21
Akheem Mesidor,EDGE,Miami,75,259,,,,0,,,,,,,,,,,,,,,12.5,,22
Christen Miller,DT,Georgia ,75,321,,,,0,,,,,,,,,,,,,,,,,65
Derrick Moore,EDGE,Michigan ,76,255,,,,0,,,,,,,,,,,,,,,10.0,,63
T.J. Parker,EDGE,Clemson,75,263,4.68,34.0,,120,,,,,,,,,,,,,,,,,17
R Mason Thomas,EDGE,Oklahoma,74,241,4.67,,,0,,,,,,,,,,,,,,,,,41
Peter Woods,DT,Clemson,74,298,,,,0,,,,,,,,,,,,,,,,,27
Zion Young,EDGE,Missouri ,78,262,,,,0,,,,,,,,,,,,,,,,,30
Chase Bisontis,OG,Texas A&M,77,315,5.02,32.0,29.0,105,7.53,4.78,,,,,,,,,,,,,,,64
Gennings Dunker,C,Iowa,77,319,5.18,,,108,,4.63,,,,,,,,,,,,,,,61
Spencer Fano,OT,Utah,77,311,4.91,32.0,,111,7.34,4.67,,,,,,,,,,,,,,,14
Monroe Freeling,OT,Georgia,79,315,4.93,33.5,,0,,,,,,,,,,,,,,,,,8
Max Iheanachor,OT,Arizona State,77,321,4.91,30.5,25.0,115,,,,,,,,,,,,,,,,,25
Olaivavega Ioane,OG,Penn State,76,320,,31.5,,104,,,,,,,,,,,,,,,,,5
Logan Jones,OT,Iowa,75,299,4.9,31.0,,110,7.46,4.59,,,,,,,,,,,,,,,72
Connor Lew,OG,Auburn,75,310,,,31.0,0,,,,,,,,,,,,,,,,,60
Caleb Lomu,OT,Utah,78,313,4.99,32.5,,113,,,,,,,,,,,,,,,,,32
Francis Mauigoa,OT,Miami,77,329,,,,0,,,,,,,,,,,,,,,,,9
Blake Miller,OG,Clemson,78,317,5.04,32.0,32.0,113,,,,,,,,,,,,,,,,,28
Emmanuel Pregnon,OT,Oregon,76,314,5.21,35.0,,111,,,,,,,,,,,,,,,,,49
Kadyn Proctor,OT,Alabama,78,352,5.22,32.5,25.0,109,,,,,,,,,,,,,,,,,58
Keylan Rutledge,C,Georgia Tech,76,316,5.05,32.5,,104,7.54,,,,,,,,,,,,,,,,57
Drew Shelton,OT,Penn State,77,313,5.18,31.0,,112,,,,,,,,,,,,,,,,,69
CJ Allen,ILB,Georgia,72,230,,,,0,,,,,,,,,,,,,,,,,31
Jake Golday,ILB,Cincinnati ,76,239,4.62,4.62,,0,7.02,4.34,,,,,,,,,,,,,,105.0,54
Anthony Hill,ILB,Texas ,74,238,4.51,4.51,21.0,125,,,,,,,,,,,,,,,,,37
Arvell Reese,EDGE,Ohio State,76,241,4.46,4.46,,0,,,,,,,,,,,,,,,8,69,3
Jacob Rodriguez,ILB,Texas Tech,73,231,4.57,4.57,,121,6.9,4.19,,,,,,,,,,,,,,128.0,51
Sonny Styles,OLB,Ohio State ,77,244,4.46,4.46,,134,7.09,4.26,,,,,,,,,,,,,,82.0,4
Brandon Cisse,S,South Carolina ,72,189,,41.0,,131,,,,,,,,,,,,,,,,,43
Bud Clark,S,TCU,73,188,4.41,38.0,,0,,,,,,,,,,,,,,,,,67
Mansoor Delane,CB,LSU,72,187,4.35,,,0,,,,,,,,,,,,,,,,,15
Caleb Downs,S,Ohio State,71,206,,,,0,,,,,,,,,,,,,,,,,2
Daylen Everette,CB,Georgia ,73,196,4.38,,,124,,,,,,,,,,,,,,,,,73
Colton Hood,S,Tennessee,71,193,4.44,40.5,,125,,,,,,,,,,,,,,,,,34
Chris Johnson,CB,San Diego State,72,193,4.4,,,126,,,,,,,,,,,,,,,,,47
Jermod McCoy,CB,Tennessee ,72,188,,,,0,,,,,,,,,,,,,,,,,18
Emmanuel McNeil-Warren,S,Toledo ,75,201,4.52,,,0,,,,,,,,,,,,,,,,,26
D'Angelo Ponds,CB,Indiana ,68,182,,43.5,,0,,,,,,,,,,,,,,,,,42
Chandler Rivers,CB,Duke,69,185,4.4,39.0,,130,,,,,,,,,,,,,,,,,70
Keionte Scott,CB,Miami,71,193,4.33,,,0,,,,,,,,,,,,,,,,,48
Avieon Terrell,CB,Clemson,71,186,,,,123,,,,,,,,,,,,,,,,,29
Dillon Thieneman,S,Oregon,73,201,4.35,41.0,,0,,,,,,,,,,,,,,,,96.0,20
