rank,name
1,Jeremiyah Love
2,Caleb Downs
3,Arvell Reese
4,Sonny Styles
5,Olaivavega Ioane
6,Fernando Mendoza
7,David Bailey
8,Monroe Freeling
9,Francis Mauigoa
10,Kenyon Sadiq
11,Carnell Tate
12,Jordyn Tyson
13,Makai Lemon
14,Spencer Fano
15,Mansoor Delane
16,Rueben Bain Jr.
17,T.J. Parker
18,Jermod McCoy
19,Denzel Boston
20,Dillon Thieneman
21,Kayden McDonald
22,Akheem Mesidor
23,Omar Cooper Jr.
24,Keldric Faulk
25,Max Iheanachor
26,Emmanuel McNeil-Warren
27,Peter Woods
28,Blake Miller
29,Avieon Terrell
30,Zion Young
31,CJ Allen
32,Caleb Lomu
33,Germie Bernard
34,Colton Hood
35,Ty Simpson
36,Lee Hunter
37,Anthony Hill Jr.
38,Caleb Banks
39,Zachariah Branch
40,KC Concepcion
41,R Mason Thomas
42,D'Angelo Ponds
43,Brandon Cisse
44,Gabe Jacas
45,Cashius Howell
46,Eli Stowers
47,Chris Johnson
48,Keionte Scott
49,Emmanuel Pregnon
50,Chris Brazzell II
51,Jacob Rodriguez
52,De'Zhaun Stribling
53,Malachi Fields
54,Jake Golday
55,Davison Igbinosun
56,Ted Hurst
57,Keylan Rutledge
58,Kadyn Proctor
59,Gracen Halton
60,Connor Lew
61,Gennings Dunker
62,Antonio Williams
63,Derrick Moore
64,Chase Bisontis
65,Christen Miller
66,Joe Royer
67,Bud Clark
68,Chris Bell
69,Drew Shelton
70,Chandler Rivers
71,Jadarian Price
72,Logan Jones
73,Daylen Everette
74,Malachi Lawrence
75,A.J. Haulcy